ST,STATE,SOCIO,HOUSEHOLD,RACE,HOUSING,POP_PER_SQ_MILE
27,Minnesota,0.0196078431372549,0.19607843137254902,0.3137254901960784,0.7450980392156863,0.4117647058823529
38,North Dakota,0.0392156862745098,0.058823529411764705,0.1568627450980392,0.9215686274509803,0.0784313725490196
19,Iowa,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.6862745098039216,0.29411764705882354
33,New Hampshire,0.0784313725490196,0.0392156862745098,0.0784313725490196,0.37254901960784315,0.5882352941176471
15,Hawaii,0.09803921568627451,0.6470588235294118,1.0,0.7058823529411765,0.7450980392156863
25,Massachusetts,0.11764705882352941,0.29411764705882354,0.5098039215686274,0.5686274509803921,0.9411764705882353
55,Wisconsin,0.13725490196078433,0.21568627450980393,0.21568627450980393,0.6470588235294118,0.49019607843137253
49,Utah,0.1568627450980392,0.13725490196078433,0.37254901960784315,0.0196078431372549,0.21568627450980393
50,Vermont,0.17647058823529413,0.0784313725490196,0.0392156862745098,0.803921568627451,0.39215686274509803
31,Nebraska,0.19607843137254902,0.6274509803921569,0.3333333333333333,0.45098039215686275,0.1568627450980392
24,Maryland,0.21568627450980393,0.3137254901960784,0.8823529411764706,0.09803921568627451,0.9019607843137255
46,South Dakota,0.23529411764705882,0.27450980392156865,0.19607843137254902,0.9019607843137255,0.09803921568627451
53,Washington,0.2549019607843137,0.5098039215686274,0.5882352941176471,0.8431372549019608,0.5686274509803921
20,Kansas,0.27450980392156865,0.6862745098039216,0.43137254901960786,0.35294117647058826,0.19607843137254902
42,Pennsylvania,0.29411764705882354,0.45098039215686275,0.35294117647058826,0.4117647058823529,0.8235294117647058
9,Connecticut,0.3137254901960784,0.43137254901960786,0.5294117647058824,0.17647058823529413,0.9215686274509803
23,Maine,0.3333333333333333,0.1568627450980392,0.0196078431372549,0.7843137254901961,0.23529411764705882
8,Colorado,0.35294117647058826,0.11764705882352941,0.5686274509803921,0.058823529411764705,0.27450980392156865
51,Virginia,0.37254901960784315,0.23529411764705882,0.6862745098039216,0.0392156862745098,0.7254901960784313
11,District of Columbia,0.39215686274509803,0.0196078431372549,0.9411764705882353,1.0,1.0
39,Ohio,0.4117647058823529,0.39215686274509803,0.2549019607843137,0.11764705882352941,0.803921568627451
30,Montana,0.43137254901960786,0.09803921568627451,0.09803921568627451,0.8627450980392157,0.058823529411764705
56,Wyoming,0.45098039215686275,0.17647058823529413,0.17647058823529413,0.8235294117647058,0.0392156862745098
26,Michigan,0.47058823529411764,0.3333333333333333,0.39215686274509803,0.3137254901960784,0.6470588235294118
18,Indiana,0.49019607843137253,0.5686274509803921,0.29411764705882354,0.1568627450980392,0.6862745098039216
10,Delaware,0.5098039215686274,0.803921568627451,0.7058823529411765,0.19607843137254902,0.8823529411764706
34,New Jersey,0.5294117647058824,0.47058823529411764,0.803921568627451,0.2549019607843137,0.9803921568627451
44,Rhode Island,0.5490196078431373,0.6078431372549019,0.45098039215686275,0.5098039215686274,0.9607843137254902
17,Illinois,0.5686274509803921,0.4117647058823529,0.6078431372549019,0.27450980392156865,0.7647058823529411
29,Missouri,0.5882352941176471,0.37254901960784315,0.23529411764705882,0.39215686274509803,0.45098039215686275
16,Idaho,0.6078431372549019,0.5294117647058824,0.27450980392156865,0.29411764705882354,0.13725490196078433
21,Kentucky,0.6274509803921569,0.7843137254901961,0.13725490196078433,0.47058823529411764,0.5490196078431373
36,New York,0.6470588235294118,0.5882352941176471,0.7450980392156863,0.9411764705882353,0.8627450980392157
41,Oregon,0.6666666666666666,0.7058823529411765,0.47058823529411764,0.9607843137254902,0.2549019607843137
54,West Virginia,0.6862745098039216,0.49019607843137253,0.058823529411764705,0.7254901960784313,0.43137254901960786
2,Alaska,0.7058823529411765,0.2549019607843137,0.7647058823529411,0.9803921568627451,0.0196078431372549
5,Arkansas,0.7254901960784313,0.9607843137254902,0.49019607843137253,0.7647058823529411,0.3333333333333333
47,Tennessee,0.7450980392156863,0.6666666666666666,0.4117647058823529,0.21568627450980393,0.6078431372549019
4,Arizona,0.7647058823529411,0.8627450980392157,0.8431372549019608,0.5294117647058824,0.35294117647058826
1,Alabama,0.7843137254901961,0.7647058823529411,0.5490196078431373,0.23529411764705882,0.47058823529411764
45,South Carolina,0.803921568627451,0.7450980392156863,0.6470588235294118,0.49019607843137253,0.6274509803921569
37,North Carolina,0.8235294117647058,0.7254901960784313,0.6274509803921569,0.6078431372549019,0.7058823529411765
6,California,0.8431372549019608,0.8431372549019608,0.9607843137254902,0.8823529411764706,0.7843137254901961
40,Oklahoma,0.8627450980392157,0.9803921568627451,0.6666666666666666,0.6274509803921569,0.3137254901960784
13,Georgia,0.8823529411764706,0.5490196078431373,0.8627450980392157,0.0784313725490196,0.6666666666666666
22,Louisiana,0.9019607843137255,0.8235294117647058,0.7254901960784313,0.5882352941176471,0.5098039215686274
35,New Mexico,0.9215686274509803,1.0,0.9803921568627451,0.6666666666666666,0.11764705882352941
12,Florida,0.9411764705882353,0.9019607843137255,0.8235294117647058,0.43137254901960786,0.8431372549019608
48,Texas,0.9607843137254902,0.9411764705882353,0.9215686274509803,0.3333333333333333,0.5294117647058824
32,Nevada,0.9803921568627451,0.9215686274509803,0.9019607843137255,0.13725490196078433,0.17647058823529413
28,Mississippi,1.0,0.8823529411764706,0.7843137254901961,0.5490196078431373,0.37254901960784315
